====iter_24000: fit=1.6743, reg=1.1071, thom=5.1236, thomf=4.9782, acc=0.5625
====iter_24100: fit=1.4889, reg=1.1028, thom=5.1234, thomf=4.9775, acc=0.5859
====iter_24200: fit=1.3912, reg=1.1044, thom=5.1233, thomf=4.9778, acc=0.6562
====iter_24300: fit=1.3127, reg=1.1047, thom=5.1235, thomf=4.9767, acc=0.6875
====iter_24400: fit=1.7575, reg=1.1074, thom=5.1234, thomf=4.9765, acc=0.5547
====iter_24500: fit=1.9140, reg=1.1064, thom=5.1234, thomf=4.9771, acc=0.5234
====iter_24600: fit=1.4834, reg=1.1070, thom=5.1234, thomf=4.9770, acc=0.5938
====iter_24700: fit=1.1454, reg=1.1078, thom=5.1234, thomf=4.9765, acc=0.7031
====iter_24800: fit=1.5966, reg=1.1097, thom=5.1236, thomf=4.9770, acc=0.6172
====iter_24900: fit=1.4446, reg=1.1091, thom=5.1234, thomf=4.9768, acc=0.6406
====iter_25000: fit=1.6661, reg=1.1073, thom=5.1234, thomf=4.9771, acc=0.5938
====iter_25100: fit=1.3579, reg=1.1080, thom=5.1233, thomf=4.9767, acc=0.6641
====iter_25200: fit=1.2113, reg=1.1072, thom=5.1233, thomf=4.9771, acc=0.6953
====iter_25300: fit=1.2775, reg=1.1079, thom=5.1233, thomf=4.9780, acc=0.6719
====iter_25400: fit=1.6946, reg=1.1082, thom=5.1231, thomf=4.9766, acc=0.5781
====iter_25500: fit=1.2278, reg=1.1110, thom=5.1231, thomf=4.9766, acc=0.6484
====iter_25600: fit=1.7140, reg=1.1111, thom=5.1232, thomf=4.9765, acc=0.5547
====iter_25700: fit=1.4323, reg=1.1118, thom=5.1232, thomf=4.9778, acc=0.6250
====iter_25800: fit=1.3828, reg=1.1093, thom=5.1230, thomf=4.9770, acc=0.6719
====iter_25900: fit=1.7302, reg=1.1100, thom=5.1232, thomf=4.9767, acc=0.5547
====iter_26000: fit=1.7416, reg=1.1126, thom=5.1232, thomf=4.9768, acc=0.5078
====iter_26100: fit=1.5110, reg=1.1140, thom=5.1233, thomf=4.9779, acc=0.5859
====iter_26200: fit=1.4266, reg=1.1121, thom=5.1233, thomf=4.9771, acc=0.6016
====iter_26300: fit=1.1415, reg=1.1119, thom=5.1230, thomf=4.9772, acc=0.7031
====iter_26400: fit=1.4955, reg=1.1148, thom=5.1233, thomf=4.9765, acc=0.6094
====iter_26500: fit=1.3393, reg=1.1136, thom=5.1232, thomf=4.9774, acc=0.6016
====iter_26600: fit=1.4383, reg=1.1127, thom=5.1233, thomf=4.9773, acc=0.6016
====iter_26700: fit=1.3614, reg=1.1165, thom=5.1234, thomf=4.9768, acc=0.6875
====iter_26800: fit=1.5680, reg=1.1172, thom=5.1235, thomf=4.9775, acc=0.5703
====iter_26900: fit=1.6488, reg=1.1177, thom=5.1235, thomf=4.9778, acc=0.5469
====iter_27000: fit=1.4916, reg=1.1149, thom=5.1230, thomf=4.9765, acc=0.5859
====iter_27100: fit=1.4293, reg=1.1124, thom=5.1231, thomf=4.9769, acc=0.5703
====iter_27200: fit=1.5642, reg=1.1120, thom=5.1231, thomf=4.9771, acc=0.5703
====iter_27300: fit=1.1384, reg=1.1085, thom=5.1230, thomf=4.9779, acc=0.7031
====iter_27400: fit=1.2780, reg=1.1085, thom=5.1231, thomf=4.9768, acc=0.6328
====iter_27500: fit=1.4995, reg=1.1123, thom=5.1232, thomf=4.9769, acc=0.6406
====iter_27600: fit=1.5324, reg=1.1133, thom=5.1232, thomf=4.9769, acc=0.6328
====iter_27700: fit=1.2912, reg=1.1112, thom=5.1229, thomf=4.9766, acc=0.6328
====iter_27800: fit=1.2304, reg=1.1138, thom=5.1230, thomf=4.9769, acc=0.7109
====iter_27900: fit=1.8011, reg=1.1148, thom=5.1230, thomf=4.9770, acc=0.5234
====iter_28000: fit=1.7289, reg=1.1163, thom=5.1230, thomf=4.9770, acc=0.5703
====iter_28100: fit=1.2677, reg=1.1140, thom=5.1229, thomf=4.9770, acc=0.6797
====iter_28200: fit=1.3970, reg=1.1164, thom=5.1229, thomf=4.9763, acc=0.6250
====iter_28300: fit=1.3117, reg=1.1211, thom=5.1232, thomf=4.9766, acc=0.6641
====iter_28400: fit=1.3853, reg=1.1204, thom=5.1232, thomf=4.9772, acc=0.6406
